p0 y= 267 x= 102 w=  8 h= 8 | CheckBox  | Pole wyboru 56
p0 y= 266 x= 112 w= 17 h=13 | TextField | Pole tekstowe 148
p0 y= 261 x=  38 w= 44 h=25 | TextField | Pole tekstowe 39
p0 y= 254 x= 102 w=  8 h= 8 | CheckBox  | Pole wyboru 57
p0 y= 253 x= 112 w= 17 h=13 | TextField | Pole tekstowe 149
p0 y= 242 x=  49 w= 24 h=16 | TextField | Pole tekstowe 40
p0 y= 241 x= 102 w=  8 h= 8 | CheckBox  | Pole wyboru 58
p0 y= 240 x= 112 w= 17 h=13 | TextField | zwinne dlonie 150
p0 y= 234 x= 219 w=161 h=117 | TextField | ataki i magia
p0 y= 191 x=  31 w= 32 h=25 | TextField | Pasywna Madrosc
p0 y= 186 x= 219 w= 41 h=21 | TextField | SM
p0 y= 161 x= 219 w= 41 h=21 | TextField | SS
p0 y= 136 x= 219 w= 41 h=21 | TextField | SE
p0 y= 111 x= 219 w= 41 h=21 | TextField | SZ
p0 y=  86 x= 219 w= 41 h=21 | TextField | SP
p0 y=  54 x=  38 w=161 h=129 | TextField | pozost biegl
p0 y=  54 x= 261 w=119 h=161 | TextField | wyposazenie
p0 y=  54 x= 400 w=161 h=361 | TextField | korzysci i zdolnosci
p1 y= 716 x= 256 w= 93 h=16 | TextField | wiek
p1 y= 716 x= 368 w= 76 h=16 | TextField | wzrost
p1 y= 716 x= 463 w= 97 h=16 | TextField | waga
p1 y= 697 x=  51 w=188 h=22 | TextField | Imię postaci 2
p1 y= 691 x= 256 w= 93 h=16 | TextField | oczy
p1 y= 691 x= 368 w= 76 h=16 | TextField | skora
p1 y= 691 x= 463 w= 97 h=16 | TextField | wkosy
p1 y= 616 x= 416 w=132 h=16 | TextField | nazwa
p1 y= 502 x= 412 w=138 h=112 | TextField | obrazek
p1 y= 439 x= 217 w=165 h=219 | TextField | soj
p1 y= 439 x= 397 w=165 h=44 | TextField | soj 2
p1 y= 435 x=  29 w=163 h=221 | TextField | wygl
p1 y= 212 x= 217 w=165 h=207 | TextField | pozost korz
p1 y= 212 x= 399 w=165 h=207 | TextField | pozost korz2
p1 y=  38 x=  29 w=163 h=371 | TextField | hiat
p1 y=  36 x= 217 w=165 h=154 | TextField | majatek
p1 y=  36 x= 399 w=165 h=154 | TextField | majatek2
p2 y= 699 x= 270 w= 74 h=33 | TextField | CB
p2 y= 699 x= 370 w= 74 h=33 | TextField | ST
p2 y= 699 x= 472 w= 74 h=33 | TextField | PR
p2 y= 697 x=  51 w=188 h=22 | TextField | Imię postaci 3
p2 y= 616 x= 231 w= 40 h=25 | TextField | K 2
p2 y= 616 x= 284 w= 99 h=25 | TextField | W 2
p2 y= 616 x= 415 w= 40 h=25 | TextField | K 5
p2 y= 616 x= 467 w= 99 h=25 | TextField | W 5
p2 y= 599 x=  32 w=162 h=13 | TextField | czar
p2 y= 598 x= 212 w=  8 h= 8 | CheckBox  | kropka 26
p2 y= 598 x= 222 w=159 h=13 | TextField | czar 34
p2 y= 598 x= 397 w=  8 h= 8 | CheckBox  | kropka 61
p2 y= 598 x= 408 w=159 h=13 | TextField | czar 69
p2 y= 585 x=  32 w=162 h=13 | TextField | czar 1
p2 y= 584 x= 212 w=  8 h= 8 | CheckBox  | kropka 27
p2 y= 584 x= 222 w=159 h=13 | TextField | czar 35
p2 y= 584 x= 397 w=  8 h= 8 | CheckBox  | kropka 62
p2 y= 584 x= 408 w=159 h=13 | TextField | czar 70
p2 y= 571 x=  32 w=162 h=13 | TextField | czar 2
p2 y= 571 x= 212 w=  8 h= 8 | CheckBox  | kropka 28
p2 y= 571 x= 397 w=  8 h= 8 | CheckBox  | kropka 63
p2 y= 570 x= 222 w=159 h=13 | TextField | czar 36
p2 y= 570 x= 408 w=159 h=13 | TextField | czar 71
p2 y= 557 x=  32 w=162 h=13 | TextField | czar 3
p2 y= 557 x= 212 w=  8 h= 8 | CheckBox  | kropka 29
p2 y= 557 x= 397 w=  8 h= 8 | CheckBox  | kropka 64
p2 y= 556 x= 222 w=159 h=13 | TextField | czar 37
p2 y= 556 x= 408 w=159 h=13 | TextField | czar 72
p2 y= 544 x=  32 w=162 h=13 | TextField | czar 4
p2 y= 543 x= 212 w=  8 h= 8 | CheckBox  | kropka 30
p2 y= 543 x= 397 w=  8 h= 8 | CheckBox  | kropka 65
p2 y= 542 x= 222 w=159 h=13 | TextField | czar 38
p2 y= 542 x= 408 w=159 h=13 | TextField | czar 73
p2 y= 530 x=  32 w=162 h=13 | TextField | czar 5
p2 y= 529 x= 212 w=  8 h= 8 | CheckBox  | kropka 31
p2 y= 529 x= 397 w=  8 h= 8 | CheckBox  | kropka 66
p2 y= 528 x= 222 w=159 h=13 | TextField | czar 39
p2 y= 528 x= 408 w=159 h=13 | TextField | czar 74
p2 y= 516 x=  32 w=162 h=13 | TextField | czar 6
p2 y= 515 x= 212 w=  8 h= 8 | CheckBox  | kropka 32
p2 y= 515 x= 222 w=159 h=13 | TextField | czar 40
p2 y= 515 x= 397 w=  8 h= 8 | CheckBox  | kropka 67
p2 y= 515 x= 408 w=159 h=13 | TextField | czar 75
p2 y= 502 x=  32 w=162 h=13 | TextField | czar 7
p2 y= 501 x= 212 w=  8 h= 8 | CheckBox  | kropka 33
p2 y= 501 x= 222 w=159 h=13 | TextField | czar 41
p2 y= 501 x= 397 w=  8 h= 8 | CheckBox  | kropka 68
p2 y= 501 x= 408 w=159 h=13 | TextField | czar 76
p2 y= 487 x= 212 w=  8 h= 8 | CheckBox  | kropka 34
p2 y= 487 x= 222 w=159 h=13 | TextField | czar 42
p2 y= 487 x= 397 w=  8 h= 8 | CheckBox  | kropka 69
p2 y= 487 x= 408 w=159 h=13 | TextField | czar 77
p2 y= 474 x= 212 w=  8 h= 8 | CheckBox  | kropka 35
p2 y= 473 x= 222 w=159 h=13 | TextField | czar 43
p2 y= 460 x= 212 w=  8 h= 8 | CheckBox  | kropka 36
p2 y= 459 x= 222 w=159 h=13 | TextField | czar 44
p2 y= 450 x=  43 w= 40 h=25 | TextField | K
p2 y= 450 x=  96 w= 99 h=25 | TextField | W
p2 y= 448 x= 415 w= 40 h=25 | TextField | K 6
p2 y= 448 x= 467 w= 99 h=25 | TextField | W 6
p2 y= 446 x= 212 w=  8 h= 8 | CheckBox  | kropka 37
p2 y= 445 x= 222 w=159 h=13 | TextField | czar 45
p2 y= 432 x= 212 w=  8 h= 8 | CheckBox  | kropka 38
p2 y= 432 x= 222 w=159 h=13 | TextField | czar 46
p2 y= 431 x= 397 w=  8 h= 8 | CheckBox  | kropka 70
p2 y= 430 x=  25 w=  8 h= 8 | CheckBox  | kropka
p2 y= 430 x=  36 w=159 h=13 | TextField | czar 8
p2 y= 430 x= 408 w=159 h=13 | TextField | czar 78
p2 y= 417 x=  25 w=  8 h= 8 | CheckBox  | kropka 1
p2 y= 417 x= 397 w=  8 h= 8 | CheckBox  | kropka 71
p2 y= 416 x=  36 w=159 h=13 | TextField | czar 9
p2 y= 416 x= 408 w=159 h=13 | TextField | czar 79
p2 y= 403 x=  25 w=  8 h= 8 | CheckBox  | kropka 2
p2 y= 403 x= 397 w=  8 h= 8 | CheckBox  | kropka 72
p2 y= 402 x=  36 w=159 h=13 | TextField | czar 10
p2 y= 402 x= 408 w=159 h=13 | TextField | czar 80
p2 y= 393 x= 231 w= 40 h=25 | TextField | K 3
p2 y= 393 x= 284 w= 99 h=25 | TextField | W 3
p2 y= 389 x=  25 w=  8 h= 8 | CheckBox  | kropka 3
p2 y= 389 x= 397 w=  8 h= 8 | CheckBox  | kropka 73
p2 y= 388 x=  36 w=159 h=13 | TextField | czar 11
p2 y= 388 x= 408 w=159 h=13 | TextField | czar 81
p2 y= 375 x=  25 w=  8 h= 8 | CheckBox  | kropka 4
p2 y= 375 x=  36 w=159 h=13 | TextField | czar 12
p2 y= 375 x= 212 w=  8 h= 8 | CheckBox  | kropka 39
p2 y= 375 x= 222 w=159 h=13 | TextField | czar 47
p2 y= 375 x= 397 w=  8 h= 8 | CheckBox  | kropka 74
p2 y= 375 x= 408 w=159 h=13 | TextField | czar 82
p2 y= 361 x=  25 w=  8 h= 8 | CheckBox  | kropka 5
p2 y= 361 x=  36 w=159 h=13 | TextField | czar 13
p2 y= 361 x= 212 w=  8 h= 8 | CheckBox  | kropka 40
p2 y= 361 x= 222 w=159 h=13 | TextField | czar 48
p2 y= 361 x= 397 w=  8 h= 8 | CheckBox  | kropka 75
p2 y= 361 x= 408 w=159 h=13 | TextField | czar 83
p2 y= 348 x= 212 w=  8 h= 8 | CheckBox  | kropka 41
p2 y= 347 x=  25 w=  8 h= 8 | CheckBox  | kropka 6
p2 y= 347 x=  36 w=159 h=13 | TextField | czar 14
p2 y= 347 x= 222 w=159 h=13 | TextField | czar 49
p2 y= 347 x= 397 w=  8 h= 8 | CheckBox  | kropka 76
p2 y= 347 x= 408 w=159 h=13 | TextField | czar 84
p2 y= 334 x=  25 w=  8 h= 8 | CheckBox  | kropka 7
p2 y= 334 x= 212 w=  8 h= 8 | CheckBox  | kropka 42
p2 y= 334 x= 397 w=  8 h= 8 | CheckBox  | kropka 77
p2 y= 333 x=  36 w=159 h=13 | TextField | czar 15
p2 y= 333 x= 222 w=159 h=13 | TextField | czar 50
p2 y= 333 x= 408 w=159 h=13 | TextField | czar 85
p2 y= 320 x=  25 w=  8 h= 8 | CheckBox  | kropka 8
p2 y= 320 x= 212 w=  8 h= 8 | CheckBox  | kropka 43
p2 y= 320 x= 397 w=  8 h= 8 | CheckBox  | kropka 78
p2 y= 319 x=  36 w=159 h=13 | TextField | czar 16
p2 y= 319 x= 222 w=159 h=13 | TextField | czar 51
p2 y= 319 x= 408 w=159 h=13 | TextField | czar 86
p2 y= 306 x=  25 w=  8 h= 8 | CheckBox  | kropka 9
p2 y= 306 x= 212 w=  8 h= 8 | CheckBox  | kropka 44
p2 y= 306 x= 222 w=159 h=13 | TextField | czar 52
p2 y= 305 x=  36 w=159 h=13 | TextField | czar 17
p2 y= 292 x=  25 w=  8 h= 8 | CheckBox  | kropka 10
p2 y= 292 x=  36 w=159 h=13 | TextField | czar 18
p2 y= 292 x= 212 w=  8 h= 8 | CheckBox  | kropka 45
p2 y= 292 x= 222 w=159 h=13 | TextField | czar 53
p2 y= 280 x= 415 w= 40 h=25 | TextField | K 7
p2 y= 280 x= 467 w= 99 h=25 | TextField | W 7
p2 y= 278 x=  25 w=  8 h= 8 | CheckBox  | kropka 11
p2 y= 278 x=  36 w=159 h=13 | TextField | czar 19
p2 y= 278 x= 212 w=  8 h= 8 | CheckBox  | kropka 46
p2 y= 278 x= 222 w=159 h=13 | TextField | czar 54
p2 y= 264 x=  25 w=  8 h= 8 | CheckBox  | kropka 12
p2 y= 264 x=  36 w=159 h=13 | TextField | czar 20
p2 y= 264 x= 212 w=  8 h= 8 | CheckBox  | kropka 47
p2 y= 264 x= 222 w=159 h=13 | TextField | czar 55
p2 y= 262 x= 397 w=  8 h= 8 | CheckBox  | kropka 79
p2 y= 262 x= 408 w=159 h=13 | TextField | czar 87
p2 y= 251 x= 212 w=  8 h= 8 | CheckBox  | kropka 48
p2 y= 250 x= 222 w=159 h=13 | TextField | czar 56
p2 y= 249 x= 397 w=  8 h= 8 | CheckBox  | kropka 80
p2 y= 248 x= 408 w=159 h=13 | TextField | czar 88
p2 y= 237 x= 212 w=  8 h= 8 | CheckBox  | kropka 49
p2 y= 236 x= 222 w=159 h=13 | TextField | czar 57
p2 y= 235 x= 397 w=  8 h= 8 | CheckBox  | kropka 81
p2 y= 235 x= 408 w=159 h=13 | TextField | czar 89
p2 y= 224 x=  43 w= 40 h=25 | TextField | K 1
p2 y= 224 x=  96 w= 99 h=25 | TextField | W 1
p2 y= 223 x= 212 w=  8 h= 8 | CheckBox  | kropka 50
p2 y= 223 x= 222 w=159 h=13 | TextField | czar 58
p2 y= 221 x= 397 w=  8 h= 8 | CheckBox  | kropka 82
p2 y= 221 x= 408 w=159 h=13 | TextField | czar 90
p2 y= 209 x= 212 w=  8 h= 8 | CheckBox  | kropka 51
p2 y= 209 x= 222 w=159 h=13 | TextField | czar 59
p2 y= 207 x=  25 w=  8 h= 8 | CheckBox  | kropka 13
p2 y= 207 x= 397 w=  8 h= 8 | CheckBox  | kropka 83
p2 y= 207 x= 408 w=159 h=13 | TextField | czar 91
p2 y= 206 x=  36 w=159 h=13 | TextField | czar 21
p2 y= 193 x=  25 w=  8 h= 8 | CheckBox  | kropka 14
p2 y= 193 x= 397 w=  8 h= 8 | CheckBox  | kropka 84
p2 y= 193 x= 408 w=159 h=13 | TextField | czar 92
p2 y= 192 x=  36 w=159 h=13 | TextField | czar 22
p2 y= 179 x=  25 w=  8 h= 8 | CheckBox  | kropka 15
p2 y= 179 x= 397 w=  8 h= 8 | CheckBox  | kropka 85
p2 y= 179 x= 408 w=159 h=13 | TextField | czar 93
p2 y= 178 x=  36 w=159 h=13 | TextField | czar 23
p2 y= 169 x= 231 w= 40 h=25 | TextField | K 4
p2 y= 169 x= 284 w= 99 h=25 | TextField | W 4
p2 y= 165 x=  25 w=  8 h= 8 | CheckBox  | kropka 16
p2 y= 165 x=  36 w=159 h=13 | TextField | czar 24
p2 y= 151 x=  25 w=  8 h= 8 | CheckBox  | kropka 17
p2 y= 151 x=  36 w=159 h=13 | TextField | czar 25
p2 y= 151 x= 212 w=  8 h= 8 | CheckBox  | kropka 52
p2 y= 151 x= 222 w=159 h=13 | TextField | czar 60
p2 y= 141 x= 415 w= 40 h=25 | TextField | K 8
p2 y= 141 x= 467 w= 99 h=25 | TextField | W 8
p2 y= 137 x=  25 w=  8 h= 8 | CheckBox  | kropka 18
p2 y= 137 x=  36 w=159 h=13 | TextField | czar 26
p2 y= 137 x= 212 w=  8 h= 8 | CheckBox  | kropka 53
p2 y= 137 x= 222 w=159 h=13 | TextField | czar 61
p2 y= 124 x=  25 w=  8 h= 8 | CheckBox  | kropka 19
p2 y= 124 x= 212 w=  8 h= 8 | CheckBox  | kropka 54
p2 y= 123 x=  36 w=159 h=13 | TextField | czar 27
p2 y= 123 x= 222 w=159 h=13 | TextField | czar 62
p2 y= 123 x= 397 w=  8 h= 8 | CheckBox  | kropka 86
p2 y= 123 x= 408 w=159 h=13 | TextField | czar 94
p2 y= 110 x=  25 w=  8 h= 8 | CheckBox  | kropka 20
p2 y= 110 x= 212 w=  8 h= 8 | CheckBox  | kropka 55
p2 y= 110 x= 397 w=  8 h= 8 | CheckBox  | kropka 87
p2 y= 109 x=  36 w=159 h=13 | TextField | czar 28
p2 y= 109 x= 222 w=159 h=13 | TextField | czar 63
p2 y= 109 x= 408 w=159 h=13 | TextField | czar 95
p2 y=  96 x=  25 w=  8 h= 8 | CheckBox  | kropka 21
p2 y=  96 x= 212 w=  8 h= 8 | CheckBox  | kropka 56
p2 y=  96 x= 397 w=  8 h= 8 | CheckBox  | kropka 88
p2 y=  95 x=  36 w=159 h=13 | TextField | czar 29
p2 y=  95 x= 222 w=159 h=13 | TextField | czar 64
p2 y=  95 x= 408 w=159 h=13 | TextField | czar 96
p2 y=  82 x=  25 w=  8 h= 8 | CheckBox  | kropka 22
p2 y=  82 x=  36 w=159 h=13 | TextField | czar 30
p2 y=  82 x= 212 w=  8 h= 8 | CheckBox  | kropka 57
p2 y=  82 x= 222 w=159 h=13 | TextField | czar 65
p2 y=  82 x= 397 w=  8 h= 8 | CheckBox  | kropka 89
p2 y=  82 x= 408 w=159 h=13 | TextField | czar 97
p2 y=  68 x=  25 w=  8 h= 8 | CheckBox  | kropka 23
p2 y=  68 x=  36 w=159 h=13 | TextField | czar 31
p2 y=  68 x= 212 w=  8 h= 8 | CheckBox  | kropka 58
p2 y=  68 x= 222 w=159 h=13 | TextField | czar 66
p2 y=  68 x= 397 w=  8 h= 8 | CheckBox  | kropka 90
p2 y=  68 x= 408 w=159 h=13 | TextField | czar 98
p2 y=  54 x=  25 w=  8 h= 8 | CheckBox  | kropka 24
p2 y=  54 x=  36 w=159 h=13 | TextField | czar 32
p2 y=  54 x= 212 w=  8 h= 8 | CheckBox  | kropka 59
p2 y=  54 x= 222 w=159 h=13 | TextField | czar 67
p2 y=  54 x= 397 w=  8 h= 8 | CheckBox  | kropka 91
p2 y=  54 x= 408 w=159 h=13 | TextField | czar 99
p2 y=  41 x= 212 w=  8 h= 8 | CheckBox  | kropka 60
p2 y=  40 x=  25 w=  8 h= 8 | CheckBox  | kropka 25
p2 y=  40 x=  36 w=159 h=13 | TextField | czar 33
p2 y=  40 x= 222 w=159 h=13 | TextField | czar 68
p2 y=  40 x= 397 w=  8 h= 8 | CheckBox  | kropka 92
p2 y=  40 x= 408 w=159 h=13 | TextField | czar 100
p2 y=   3 x= 508 w= 68 h=18 | Button    | wyczysc
